"","State:County","Intercept","Slope","CBER"
"1","DC:District of Columbia",9.39069347242791,-0.188716970462322,50
"2","MD:Anne Arundel",6.99104429203146,0.0330106297642732,37
"3","MD:Baltimore",14.3908933205137,-0.249698933480072,26
"4","MD:Baltimore city",18.4270396068404,-0.504003233619571,26
"5","MD:Calvert",5.92652416483813,-0.244662119830993,3
"6","MD:Caroline",6.21721570054205,-0.0592115781004005,0
"7","MD:Carroll",5.27116593297647,-0.199625838550842,9
"8","MD:Cecil",4.31632923976514,-0.0384623397602835,1
"9","MD:Charles",11.0524853721164,-0.0794271177776941,12
"10","MD:Dorchester",21.3385537072467,-1.11511151631419,1
"11","MD:Frederick",10.1698745874945,-0.317543960891794,75
"12","MD:Harford",10.6000693220443,-0.175520628384499,4
"13","MD:Howard",9.46764249291192,-0.23011162438225,97
"14","MD:Kent",5.26196077632593,0.0339481340408124,1
"15","MD:Montgomery",8.58464189157982,-0.201019514079147,643
"16","MD:Prince George's",14.6455372133264,-0.292693218340428,66
"17","MD:Queen Anne's",20.3504242725378,-1.01206825964175,0
"18","MD:St. Mary's",9.76822490345528,-0.606036550006245,0
"19","MD:Talbot",4.84709341383449,0.762530549249572,0
"20","MD:Washington",13.735445284148,-0.494708834386687,3
"21","VA:Alexandria city",11.7728571952422,0.306039144888029,7
"22","VA:Arlington",10.1843757107604,-0.111355360846583,9
"23","VA:Clarke",4.35982377291632,-0.255575876343371,0
"24","VA:Culpeper",7.83362631095737,0.259031910015657,2
"25","VA:Fairfax",7.76439359415695,-0.00612877639400647,41
"26","VA:Fairfax city",9.56202713145134,-0.640518563829277,2
"27","VA:Falls Church city",4.43559997504035,-0.135323389069028,1
"28","VA:Fauquier",-0.293155498007931,1.37628791696355,1
"29","VA:Frederick",-6.20118184190604,0.541373017944178,0
"30","VA:Fredericksburg city",15.857540998745,-0.507138542680629,0
"31","VA:King George",12.2846299623763,-0.0409487665412544,0
"32","VA:Loudoun",7.4139113356791,-0.0143495058109918,7
"33","VA:Manassas Park city",24.5834952323109,-1.20716907534621,0
"34","VA:Manassas city",19.3113446125494,-0.187229102891754,1
"35","VA:Prince William",12.2498611873207,0.197194027123758,3
"36","VA:Rappahannock",4.17492954806388,0.08946277602994,0
"37","VA:Stafford",13.4341920817765,-0.501715680742643,3
"38","VA:Warren",6.92216855945568,-0.164162100224246,0
"39","VA:Westmoreland",6.16092206433589,-0.292796296126854,0
"40","VA:Winchester city",10.7236591316654,-0.344409490360057,0
