STUD,NFLG,TIME,NTRT,FLARE,WP,WPSE
1,0,0,217,1,5.3,0.110312188
1,0,2,217,1,5,0.124228495
1,0,12,217,1,4.85,0.135090002
1,1,0,207,1,5.25,0.123023504
1,1,2,207,1,3.9,0.129973985
1,1,12,207,1,4,0.136924465
2,0,0,117,0,5.4,0.142835301
2,0,2,117,0,4.95,0.186286816
2,0,6,117,0,4.85,0.19645632
2,0,12,117,0,4.75,0.19876757
2,1,0,118,0,5.25,0.145911077
2,1,2,118,0,3.8,0.178591476
2,1,6,118,0,3.8,0.184114924
2,1,12,118,0,3.9,0.193780957
3,0,0,107,1,6.6,0.163378467
3,0,1,107,1,4.4,0.186251697
3,0,2,107,1,4.4,0.197472811
3,0,4,107,1,4.055,0.206437037
3,0,6,107,1,3.99,0.210275407
3,1,0,121,1,6.5,0.120909091
3,1,1,121,1,3.465,0.176936133
3,1,2,121,1,2.99,0.188083087
3,1,4,121,1,2.78,0.196988067
3,1,6,121,1,2.71,0.20080107
4,0,0,116,0,4.5,0.186623815
4,0,5,116,0,3.92,0.232544758
4,1,0,417,0,4.51,0.102837442
4,1,5,417,0,3.04,0.124254913
5,0,0,61,1,6.1,0.18
5,0,6,56,1,3.95,0.293162945
5,1,0,129,1,5.85,0.14
5,1,6,121,1,3,0.202503331
6,0,0,65,1,6.2,0.22
6,0,6,64,1,3.55,0.285
6,1,0,125,1,5.9,0.165
6,1,6,120,1,3.05,0.205
7,0,0,76,1,5.15,0.195
7,0,6,75,1,2.8,0.255
7,1,0,144,1,5.45,0.135
7,1,6,136,1,2.5,0.18
8,0,0,41,1,5.75,0.280331903
8,0,1,41,1,4.6,0.329526638
8,0,2,41,1,4.35,0.338897063
8,1,0,44,1,5.75,0.2299024
8,1,1,44,1,3.85,0.290204669
8,1,2,44,1,3.4,0.287189556
9,0,0,105,0,5.25,0.159559662
9,0,1,105,0,4.295,0.185421014
9,0,4,105,0,3.605,0.211770316
9,1,0,105,0,5.105,0.148336811
9,1,1,105,0,3.22,0.175662013
9,1,4,105,0,2.65,0.181029464
10,0,0,205,0,5.46,0.124669808
10,0,2,205,0,4.39,0.140035274
10,0,6,205,0,4.115,0.156099171
10,0,12,205,0,4.01,0.163083474
10,1,0,204,0,5.365,0.109221847
10,1,2,204,0,3.805,0.138277658
10,1,6,204,0,3.62,0.144578919
10,1,12,204,0,3.545,0.145629129
11,0,0,82,0,5.246,0.206021055
11,0,1,82,0,5.06588,0.228768213
11,0,2,82,0,5.0788,0.241586233
11,0,6,82,0,5.01612,0.256210799
11,1,0,75,0,5.198,0.218815752
11,1,1,75,0,3.8268,0.241480122
11,1,2,75,0,3.5532,0.255638655
11,1,6,75,0,3.53906,0.271792662
12,0,0,242,1,5.25,0.102209071
12,0,2,242,1,4.7,0.11827968
12,0,12,242,1,4.6,0.12567216
12,1,0,226,1,5.55,0.126053525
12,1,2,226,1,4.05,0.12638612
12,1,12,226,1,3.9,0.145011443
13,0,0,201,1,5.4,0.120261428
13,0,2,201,1,5,0.140716451
13,0,12,201,1,4.7,0.155176036
13,1,0,198,1,5.5,0.105534355
13,1,2,198,1,4.1,0.142133811
13,1,12,198,1,4.2,0.151017174
14,0,0,66,0,5.655,0.201639181
14,0,1,66,0,4.405,0.244636547
14,0,2,66,0,4.355,0.258924035
14,1,0,69,0,5.315,0.19720701
14,1,1,69,0,3.015,0.241630253
14,1,2,69,0,3.015,0.256391544
15,0,0,209,1,7.41,0.095468355
15,0,2,209,1,5.3,0.159691968
15,0,4,209,1,4.99,0.170530442
15,0,8,209,1,4.93,0.171148143
15,0,12,209,1,4.83,0.184052076
15,1,0,207,1,7.3,0.097800906
15,1,2,207,1,4.36,0.181668183
15,1,4,207,1,4.25,0.178660015
15,1,8,207,1,4.26,0.173910752
15,1,12,207,1,4.19,0.185308845
16,0,0,207,1,7.19614,0.097293521
16,0,2,207,1,4.88077,0.160171042
16,0,4,207,1,4.63173,0.166637074
16,0,8,207,1,4.56442,0.169003018
16,0,12,207,1,4.37115,0.17533421
16,1,0,206,1,7.16505,0.094244288
16,1,2,206,1,4.0483,0.185128233
16,1,4,206,1,3.83107,0.179928514
16,1,8,206,1,3.87864,0.18713343
16,1,12,206,1,3.82233,0.189380394
17,0,0,331,1,6.549,0.086295005
17,0,2,331,1,5.409,0.113502959
17,0,6,331,1,4.959,0.120782029
17,0,13,331,1,4.769,0.123508321
17,1,0,156,1,6.399,0.127301882
17,1,2,156,1,4.029,0.167433573
17,1,6,156,1,3.729,0.178634362
17,1,13,156,1,3.979,0.182829487
18,0,0,221,1,7.22,0.106282302
18,0,2,221,1,5.26,0.142011239
18,0,6,221,1,4.93,0.150919517
18,0,13,221,1,4.65,0.15425601
18,1,0,226,1,7.1,0.114412698
18,1,2,226,1,3.87,0.142176945
18,1,6,226,1,3.53,0.151482809
18,1,13,226,1,3.31,0.154968212
